26	88	05	45	43
82	79	16	49	46
88	78	68	56	90
94	66	75	78	64
77	50	62	14	73

16	49	06	51	57
28	41	82	37	38
95	05	78	73	98
76	20	63	39	87
76	84	75	46	31

13	39	57	49	52
08	88	40	66	60
71	82	46	98	65
49	45	25	17	43
78	19	74	84	58

09	38	19	29	82
88	26	82	70	32
39	19	36	76	92
86	87	91	59	91
81	12	16	49	38

73	93	47	63	85
05	25	19	91	01
67	15	63	12	06
90	76	66	99	65
86	56	32	85	72

96	18	37	63	66
55	46	31	13	39
12	19	74	58	75
55	53	25	62	14
88	78	29	28	20

60	52	86	79	89
19	97	08	58	42
79	05	51	38	73
64	85	03	86	10
75	81	83	71	81

38	04	10	84	34
88	63	38	36	27
28	41	08	10	29
84	06	39	40	88
31	28	27	29	67

96	02	73	20	91
02	44	58	93	73
44	48	79	19	83
18	43	22	44	85
64	13	69	90	82

25	95	38	80	17
22	54	85	76	03
45	87	44	13	65
73	93	77	07	63
56	32	58	15	93

30	13	40	26	18
77	61	03	86	43
95	51	04	72	11
29	43	88	60	35
01	54	87	11	47

39	65	98	58	10
65	83	36	28	41
68	11	81	17	53
98	88	45	87	95
69	27	09	12	01

81	18	24	49	99
73	70	34	97	41
48	82	98	36	91
19	41	57	84	48
55	85	65	29	61

80	22	27	42	15
14	92	56	38	09
69	55	21	99	80
50	69	83	69	25
86	04	31	98	61

10	51	89	93	06
48	34	05	08	74
04	16	91	32	49
56	17	95	72	13
99	25	90	64	82

79	23	49	37	72
29	64	02	54	60
37	67	24	77	87
59	10	80	41	01
35	82	88	80	36

75	85	66	26	32
79	36	62	59	19
21	93	71	23	67
24	87	10	27	37
72	36	44	05	94

03	06	41	84	43
47	13	23	13	96
47	17	17	29	25
19	76	99	47	71
29	28	38	81	58

08	55	65	29	20
37	82	37	10	70
69	25	70	76	83
22	59	68	19	38
54	16	47	78	95

31	61	91	37	56
43	60	12	63	58
92	05	22	90	66
41	72	96	49	21
38	48	80	18	14
